1,Being a comedian has opened up a lot of dating opportunities for me.
2,"Great, does that get you a lot of ladies? I love meeting new women."
3,I talk about the women I have dated in my jokes.
4,Food keeps me healthy.
5,"Eating healthy is good for your body.  I don't eat cakes, candy, or sweets."
6,I look for protein after exercising.
7,"It's not my chosen field, but I have immense respect for it as both of my parents were scientists"
8,I think what our parents do has a great effect on what career we choose.
9,There is a person who runs a salon from his boat.
10,"I prefer chicken over steak. So where are you moving? To another apartment, or are you getting a home?"
11,"I only like my steak grilled, but I haven't had an outdoor grill what with living in an apartment. Maybe it's time I moved into a place with a lawn."
12,I live in a great neighborhood with a nice steakhouse around the corner.
13,I have high qualifications in pirate history.
14,I think people should live like their school mascot.
15,"I was lucky to even make it to college, as it wasn't a priority in my family."
16,Most of the times I’m happy because of the constant affection from my dog Lena.
17,I am happiest when I am hanging out with my dog.
18,having pets helps in making me happy
19,My dog's name is Popcorn and she is my buddy.  I watched Funny Dancing Dogs Compilation on you tube last night since dancing is my passion.
20,I have a dream of working in Yellowstone National Park during the winter.
21,"I wouldn't want to work in D.C., though."
22,It'd be nice to be in Washington - the weather's usually pretty good there.
23,I believe my recent career change helped me not to mind longer hours.
24,I hate when I have to work overtime.  I have to take care of my crew and make sure they don't get overtired.
25,I don't like overtime either becuse I would rather spend my time doing what I like to do which is taking care of people.
26,I don't have any pets.  I don't think I'd like them in my car.
27,"It's a new car and I won't let my dog inside because he'll get hair everywhere, so he also has to stay home alone when I go driving."
28,My dogs simply cannot come with me.  They are too big for my small car.
29,I am a female pet lover.
30,"That's cool, I like to bike to work to be more active, what do you do for work?"
31,Keeping active is very important.  That is why on the weekends I work as a server since it keeps me moving.
32,"I try to keep active, so I exercise every morning during the week. That's the only time I can do it because I am a server on the weekends."
33,This year I will be making scarfs for all my daughters and hats for the boys.
34,I make scarfs for my kids.
35,I guess the cool thing about having kids is that they are like little people/adults in a sense.
36,I like to make things for my kids.
37,I only have a daughter.  I'm making a scarf for her.
38,"For my other three kids, I'm making them all sweaters. I have a lot of kids and can't afford to buy them all presents, so I make them presents."
39,I help my blind child learn about things by using educational dolls he can touch.
40,My daughter enjoys feeling the facial features on her dolls.
41,"Dolls are fun to play with and my daughter enjoys the feel and the softness of them, too, which is good because my child cannot see."
42,"To be a good artist, one needs the talent. Although I don't have the talent of sport, I like soccer."
43,My family are all doctors who aren't good at baking. I am in my second year of medical school.
44,I enjoy going to walk in the mall.
45,I am into indoor activities.
46,One of my favorite places to go is the mall and I see a few new tennis stores in there.
47,"I used to do that when I was younger. Now I have two kids of my own and they adore music, too."
48,i remember being in a band when I was a child.
49,Band practice is hard sometimes when you have a family to take care of.
50,I want to visit the cat cafe in Portland.
51,I often have to find someone to pet-sit my cat because I really love to travel.
52,My brother is in a boy band.
53,"That's cool! I met my current husband through my brother, do you have any siblings?"
54,My siblings were not supportive of our relationship
55,I have just been getting Wintet clothing since the temps here were much colder than usual for a few days.
56,"I have a few name brand shirts, but it's really too cold to wear them outside right now."
57,I wear my logo sweatshirt in the cold weather outside.
58,Losing a parent can cause a lot of stress.
59,I know I am affected by my parents dying when I was very young.
60,"I lost one of my parents a while ago and it's been very difficult to cope. To tell you the truth, I've always been a little shy but it's difficult for me to connect to others now more than ever."
61,Both of my parents died.
62,I also have a dog. I adopted it when my parents got divorced.
63,My parents let me have a dog when I was a child.
64,My parents have the same dog that they had 10 years when they first got married.
65,"A lot of people think international travel is expensive, but even my very basic job allowed me to budget for it."
66,I can't afford to go to Europe because I have a basic job.
67,I can't go to Europe because my job doesn't pay me enough.
68,I am a newlywed with a grandchildren.
69,"I am a grandmother but even though I'm older, I recently got married again. So I have been a wife for a short amount of time."
70,I got married for the first time.
71,I grew up in a house that watched a lot of sports. I believe that's why I like basketball.
72,I really like to spent time outside with my boys playing basketball.  Fortunately I like basketball.
73,I like basketball a lot and see a lot of fathers with their sons playing at the park I go to.
74,Have you ever tried cooking in a Crock Pot?
75,I like cheese as a side to a hot dish.  Like a stew or soup.
76,"I'm lactose intolerant unfortunately. I prefer to make soups and stews, especially in this cold weather."
77,I like animals and have a few different kinds of pets.
78,"I don't just have dogs, I also have other types of pets."
79,"How nice! I am an animal lover myself—in fact, I have a pet reptile at home!"
80,My tastes are too expensive.
81,I had a steak last night to celebrate my new job selling cars.
82,Yeah that is likely the most stress-free way of doing it and saving money/time..
83,My parents live near where I work.
84,One of the reasons I moved is because my new apartment is right next door to my job. It takes me five minutes to walk there.
85,I love when it rains.
86,Rc racing is my favorite hobby along with fishing.
87,i like to race rc cars and eat fish
88,"That's awesome! Recently, I've started to learn how to cook, is there any dish you're good at making?"
89,I had a rough night sleeping in my new bed last night.
90,I just learned to drive too. last night I drove to the store to pick up some salmon - it's my favorite fish. I make a great salmon entree.
91,I am in military also but in the airforce branch as a pilot.
92,"What a coincidence, I'm in the Air Force. I travel all over and fly airplanes."
93,Thats cool. Those high hills look scary.
94,I don't like high terrain.
95,I don't want to be a disappointment to my future girlfriend.
96,"I've gotten a lot better at interpersonal relationships, that's why I think I'm ready for a girlfriend."
97,"My family expects me to get married and have kids, so when I'm single it disappoints them."
98,My parents want me to have a girlfriend.
99,"Having people you love know they can rely on you is one of life's great satisfactions. I'm missing that right now, someone who depends on me, to fix that I want a girlfriend."
100,"i know,my brother worries all the time about what his girlfriend thinks of him."
101,What kind of stuff are you getting or preparing for the wedding?
102,I am thinking of what I should give people for wedding favors.
103,At my wedding I want people to enjoys themselves with sweets.  That is why at the reception I'll serve lots of candy.
104,I like to live on the edge myself through my choice of pets.
105,I am not quite that adventurous.
106,i like interesting hobbies
107,I wish I could travel to exotic places to surf.  I don't make enough money to do that as I am a mechanic.
108,What is it you do for a living?
109,I relax by singing in the shower on sundays.
110,i commute to work in the city
111,I live way out in the country which creates a long drive into work at Safeway.
112,I have to travel a good ways to get to work.
113,"Same, that's why exercise is so important to me. Do you run or do any physical activities?"
114,Health is very important to me. It's important I stay strong because I use a wheelchair and it's not always easy.
115,I try to stay healthy.  It's hard to get around when you are in a wheelchair though.
116,"I hope it is an interesting job, though I don't think you'll be able to match my mom; my mom was a British ballerina."
117,I grew up in Britain.  My mom was a ballerina there.
118,The UK has a lot of openings for jobs right now.
119,I'll ride a nice limo to my wedding.
120,I have always liked nice cars and my fiancé said he's going to rent a classic Rolls Royce for when we get married. I can't wait—and it won't be long now because my wedding is set for April 11.
121,I wish I had a nice car.  It would be great to take on my honeymoon; my wedding is set for April 11.
122,I work with my mom.  We work as cashiers in the supermarket.
123,I work next door to my parent's job.
124,"My parent works to help children and he spends so much time volunteering with needy kids. I would do the same if I could, but I have to work as many hours as I can just to survive because I am a cashier in a supermarket making next to nothing."
125,I fell in love with my girlfriend whom I met during my summer vacation.  I have to go back to college away from her and now I hate school.
126,School without air conditioner in the summer make me sweat and suffer so I hate school.
127,Our family adopted a dog from the streets.
128,They are all depressed about our sick puppy.
129,"I don't have any children myself, but  I hate seeing needy animals in pain, so the ones I foster from vet clinics end up feeling like family."
130,I  live in my college dorm.  My college cafeteria does not serve enough vegetables and I like eating vegetables.
131,"It's really hard for me to eat healthy in the dining hall.  There aren't many vegetables to chose from, and I really like eating vegetables."
132,Congratulations! What do you like to eat at college?
133,That's exciting! I don't really know how to dance but I can bake. I love to bake cakes.
134,I like to clean up as I walk in nature.
135,I like the outdoors as well. I love nature and want to preserve it.
136,I spend a lot of time outside appreciating nature because I care about the environment.
137,I like this color since I feel it suits one for their job sometimes.
138,My locks are a nice chestnut color and kids play with them.  They mainly do this a lot because I'm a teacher.
139,There is a little girl in my class that has chestnut hair.
140,Me and my boyfriend hang out in the park alot since he is unemployed.
141,I don't like people as much as pets either.  I have a lot of pets.
142,I definitely feel the same way.
143,I would like to get my first pet.
144,I love trying food in foreign countries. I really want to travel soon.
145,I love trying new restaurants when traveling overseas.
146,Hobbies are fun to have.  I collect stamps as a hobby and I love to collect stamps of famous musicians.
147,I like to go to concerts once in a while but my stamp collection hobby takes up too much of my free time anymore.
148,My favorite animal is a cat.
149,Football parties are great.  I love to have parties and drink beer and eat food.
150,I like watching football with my friends. We go to someone's house and we drink beer and eat food.
151,I think I'd enjoy working in a lab.
152,"I actually quit my last job because it involved science, so now I'm looking for a job in business instead."
153,There are a lot of positions available for scientists.
154,I have tons of books about cats. I guess I don't need them now.
155,Coffee keeps me alert to help me win.
156,"In order to win, I need to be awake and drink coffee a lot."
157,"I love winning and I'm so thrilled because I just came in first in a competition for which the grand prize was a year's supply of coffee, which is perfect because coffee is important to me."
158,My father is the local butcher
159,I wish I had a more fulfilling job.
160,A lot of times I notice people may follow employment patterns or choices of those around them.
161,On holidays my parents and the children they work with all volunteer their time at the supermarket to collect money for the salvation army.
162,"They also work at the supermarkets, and I go see them when I go shopping."
163,I don't usually have money to spare but when I do I like to visit my parents.
164,I am a cashier in a supermarket and I've made friends with some of the regular customers. They're so cool that I enjoy going to see them occasionally.
165,I avoid oils though because of the chemicals.
166,I use lead-free oils.
167,Oils are good for skin and I take care of my body with it.
168,I work with kids and love to spend time with my own kids.
169,"Honestly, it's not just my kids, but all kids."
170,Usually parents or those with kids will say that -- it makes sense though from a bare perspective on life and health/living altogether I suppose.
171,How many children do you have?
172,You must be very proud of your accomplishment.  I know motherhood is hard and challenging since I have a family of three daughters.
173,I get mad a lot too.  I think I need to stay out of clubs where there is too much drinking.
174,My friends and family annoy me so I just like to people watch.
175,"I constantly have feelings of anger, especially since I've stopped drinking. It's probably not a good idea that I hang out in clubs and look at the folks drinking."
176,I love posting pics.  I always post what I have cooked.
177,I love posting about my hobbies on Facebook.
178,Sounds like something you are passionate about.  Cooking is my passion!
179,I cook when I am not posting pics on facebook.
180,I post pictures of myself cooking.
181,Using Facebook is a good form of entertainment.  I use Facebook to post pics of my passion for cooking.
182,"Many people learn best by reading, but some learn best by doing."
183,I am always seeking to gain knowledge.  One method I use is absorbing written materials.
184,Learning is fun to me.  I can absorb written material like a sponge.
185,I find that interesting and would like to know more so I can use it to go to sleep.
186,Food makes me tired.  Another thing that makes me tired is studying people's lives.
187,I like reading about chefs.
188,I have a home gym.
189,I’m glad that I work from home because it gives me a great opportunity to do various exercises while I’m working.
190,"I write songs for my musician career,"
191,"I want to share my feelings,"
192,I'm not a musician but I love singing. I even like to write my own songs.
193,I have two dogs on my river house.
194,I live there with my dogs.
195,"I take my dogs fishing with me on the canoe boat, and I often see houseboats floating along the river when I go fishing early in the morning."
196,Now I have changed my profession.
197,"I prefer peace, love and the hippie way more than wars, violence and things of such."
198,"I like to box, martial arts, and drawing as hobbies."
199,"Books are one of my favorite things, too. Maybe we can talk more in the future because I have none to share my thoughts about the books I read."
200,I don't live with anyone so my hobbies include reading books.
201,I do too. We should form a book club. I don't have anyone to share my thoughts with about books.
202,"I wanted to become a musician, but I was tone deaf and decided to apply for a government position instead."
203,"I create music on instruments, which takes my mind off my stressful job. It can be a lot of pressure because I work for the government."
204,I create music when I am not working.
205,I have been able to hit a lot of attractions because I love to walk through nature.
206,I like to vacation in the mountains to see the attractions and to see the beauty of the parks.
207,My favorite attractions are National Parks.
208,I like drinking with my boys instead of going on dates.
209,I take them out to bars.
210,"I don't really care about gender, as long as they'll join me in a cup of coffee."
211,"Maybe you can offer me some insider advice, as I recently was discharged from the hospital and am struggling with the ensuing debt."
212,It's hard being a patient in the US.
213,I knew I needed surgery when I fell.
214,I raise animals while my spouse is overseas in the military.
215,"While my spouse is away on leave, I work as a veterinarian and help people take care and raise their animals."
216,I manage the farm when my husband is not around.
217,Do you have good digestion? I find that stress can affect the ability for one to digest or handle things in general.
218,To avoid a distracting rash I had to cut out dairy when writing my novel.
219,"I break out in a rash when I have dairy, which keeps me stuck at home when it happens. Recently I ended up being home with a rash for so long that I have written a novel."
220,I recently moved back home after I got kicked out of college.
221,I wish I had enough money to get my own place.
222,"I have to, too, since I don't have much money."
223,When I am not working I like to read stories.
224,"I work for the government, which is a very serious job. So I like being silly when I get home to blow off steam and I enjoy perceiving nonsense stories for that very reason."
225,I work for the government too.  I like to spend my spare time reading funny stories though.
226,i imagine your coworkers have a lot of stories to tell.
227,sometimes we get prank calls
228,"That sounds serious, probably too serious for me. I like silliness...in fact, I love listening to goofy stories."
229,I drive to work.
230,I work just down the street from where I live.
231,"As an accountant, I bet you drive a fancy car to work."
232,I recently got a new job as an executive.
233,"My work is in leadership at Safeway, but someday I hope to work myself up to the executive ranks because I would love to be a professional."
234,I'm applying to local grocery stores for a managerial position.
235,I drink dairy free milk with breaded tilapia.
236,I usually have a glass of milk on the side of my meal.
237,I have to drink dairy free milk because I have a sensitive stomach. But I'm fortunate that eating fish doesn't bother me because breaded tilapia is my favorite dinner dish.
238,I’m a reality TV star and have filmed a lot of scenes on the beach while people were surfing.
239,There are so many pet food commericals on television.
240,I love pets because I'm lonely.  My loneliness makes me want to focus on shows and ignore stupid repetitive commercials.
241,I keep seeing pet commercials.
242,I love pets also.  Pets and television is my two passions.
243,"Pets appeal to me and I love watching basic cable animal shows on TV, but I can't do it for long because I get tired of commercials."
244,I believe that dogs should get fresh food. Pet food commercials make me mad.
245,I hate ham. I actually hate most meat; I prefer vegetables and I really enjoy fruit.
246,I don't really care for any type of meat.  I really like fruit though.
247,The only thing I like about it is when it's cooked with pineapples and I can pick the pieces of fruit out.
248,"After high school we spent several years working on the farm, we had a lot of corn fields and more chickens than I could count."
249,"Ive only done farming, because i love chickens."
250,I just hang out on my father's farm
251,When I am not working I am cooking.
252,I pass through Dillard's when I'm going to the food court at the mall.  There is a good vegetarian place there.
253,"I haven't been to Dillards in so long, I'll be over by the mall tomorrow, do you want to grab lunch? What kind of food do you like?"
254,I taught my siblings how to do math when I was younger.
255,Some of my siblings are good at numbers and I enjoy hanging around with them because my many siblings were a big part of my home life.
256,My father was an accountant.  It was a good way to support the large family that we had.
257,I am more of an artist
258,I just graduate college.
259,"My father is a music teacher, it's why I want to play music for a living"
260,I have been learning about their culture.
261,I also like many other sports also.
262,"In the winter, after I get off the slopes I like to gather with friends at the ski lodge.  If there's a football game on, we'll watch together because I really like football."
263,Not only do I love to ski but I also love contact sports as well.
264,"Romance has never been a priority for me. I like to focus on my career, since my job is a professional one."
265,It's hard to have feelings for someone when you have a professional job like I do.
266,My ex works at my company .
267,Mine is a quarterback.
268,I like sports too because I need to exercise a lot in order to burn off all the calories I eat. I like all sorts of food but my favorite food is pizza.
269,I like to eat pizza when watching sports.
270,I eat and drink when i watch the games on tv.
271,I will earn my degree as a dietician.
272,I have learned a lot of my values while in college.
273,Earning this degree at school is going to go along way in providing income for me to afford buying vegan products.
274,"It is good to be able to teach young people.  When young, I learned much from my father who has a lot of knowledge about household repair."
275,"I grew up in a house full of kids, but work was emphasized over education."
276,my father used to be a school teacher.
277,"People say I'm too childish because I'm always into new and exciting action, but I don't think I'm too childish, I think they're too stuffy."
278,But I like to be adventurous.
279,I like to have fun with my parents.
280,I find that yoga helps me to gain new ideas.
281,"I like weird performances.  Sometimes I wish I still performed, but I work at a market now."
282,"I had to get my market job because my performances were too weird for general audiences, and I couldn't make enough money."
283,I used to perform in a circus.
284,I had to leave my home in pennsylvania to a warmer climate because of my health.
285,It hasn't been a very easy change for me to move north.
286,My medical condition is worse since I moved to the cold climate of Pennsylvania.
287,My packages were delayed because of the weather.
288,This saves me from having to drive to the store in wintery conditions.
289,i like going to the store when it's sunny outside.
290,After writing her last book my sister moved to Florida.
291,My sister lives in Florida now.
292,She moved to Florida.  I love to see her so I vacation in Florida every winter.
